study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB51061	ERP135653	SAMEA13090834	ERS10694841	ERX8364547	ERR8698839	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR008.MT		SINGLE	Targeted-Capture	GENOMIC	RANDOM	8064	400407	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:131-49670	ena-RUN-TAB-21-02-2022-11:34:56:132-49671	181495	706d26d00b626dd871a640101fb41e10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/009/ERR8698839/ERR8698839.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/009/ERR8698839/ERR8698839.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/009/ERR8698839/ERR8698839.fastq.gz	283597;152	e9094a0d8b4ae27e1dc6d827967fdb90;7ea5137e78883b9b35ded177637ac9f7	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698839/FLR008.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698839/FLR008.MT.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698839/FLR008.MT.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698839/FLR008.MT.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698839/FLR008.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698839/FLR008.MT.bam.bai	BAM;BAI						FLR008_compl		FLR008		2022-02-21
PRJEB51061	ERP135653	SAMEA13090834	ERS10694841	ERX8364548	ERR8698840	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR008.TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	597497	36011769	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:132-49672	ena-RUN-TAB-21-02-2022-11:34:56:132-49673	21103003	f0d510f11d52bffcfe2760e7b0bc9743	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/000/ERR8698840/ERR8698840.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/000/ERR8698840/ERR8698840.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/000/ERR8698840/ERR8698840.fastq.gz	30848092;5187712	70d123b5dff966260759b8d4dafe5ff2;f6edede5d7469e3319c2eac2dc6af809	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698840/FLR008.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698840/FLR008.TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698840/FLR008.TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698840/FLR008.TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698840/FLR008.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698840/FLR008.TF.bam.bai	BAM;BAI						FLR008_compl		FLR008		2022-02-21
PRJEB51061	ERP135653	SAMEA13090835	ERS10694842	ERX8364550	ERR8698842	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR009.TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	729912	41842383	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:132-49676	ena-RUN-TAB-21-02-2022-11:34:56:133-49677	22966901	b692098f007b9a199ac5d5278337145d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/002/ERR8698842/ERR8698842.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/002/ERR8698842/ERR8698842.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/002/ERR8698842/ERR8698842.fastq.gz	34158875;5171472	0b6f7756c9ffb1a38472e441d6c50aef;2bd201dedc550142c6c26ac1e78b5e2e	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698842/FLR009.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698842/FLR009.TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698842/FLR009.TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698842/FLR009.TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698842/FLR009.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698842/FLR009.TF.bam.bai	BAM;BAI						FLR009_compl		FLR009		2022-02-21
PRJEB51061	ERP135653	SAMEA13090837	ERS10694844	ERX8364552	ERR8698844	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR011.MT		SINGLE	Targeted-Capture	GENOMIC	RANDOM	34972	2179792	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:133-49680	ena-RUN-TAB-21-02-2022-11:34:56:133-49681	761963	c593faa34b5bb26ba7ffffe10f423e68	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/004/ERR8698844/ERR8698844.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/004/ERR8698844/ERR8698844.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/004/ERR8698844/ERR8698844.fastq.gz	1165415;152	38806e925bdba15e210f2f64971aac03;eeeec4fbd30d92a6f3c6dd33c4dea263	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698844/FLR011.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698844/FLR011.MT.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698844/FLR011.MT.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698844/FLR011.MT.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698844/FLR011.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698844/FLR011.MT.bam.bai	BAM;BAI						FLR011		FLR011		2022-02-21
PRJEB51061	ERP135653	SAMEA13090839	ERS10694846	ERX8364559	ERR8698851	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR015.TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	410279	25161759	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:135-49694	ena-RUN-TAB-21-02-2022-11:34:56:135-49695	14725136	af301963a0be85368f6f9d8e871143a2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/001/ERR8698851/ERR8698851.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/001/ERR8698851/ERR8698851.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/001/ERR8698851/ERR8698851.fastq.gz	21533482;4825232	55e226e1e024953c11ba146895e3bd0b;4f71c1377e7c302d2685db75bc4479a9	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698851/FLR015.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698851/FLR015.TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698851/FLR015.TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698851/FLR015.TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698851/FLR015.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698851/FLR015.TF.bam.bai	BAM;BAI						FLR015		FLR015		2022-02-21
PRJEB51061	ERP135653	SAMEA13090831	ERS10694838	ERX8364544	ERR8698836	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR003.YC	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	511694	29295337	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 paired end sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:130-49664	ena-RUN-TAB-21-02-2022-11:34:56:130-49665	15733650	1a6a3b95d8beea266c00c51cf569f30f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/006/ERR8698836/ERR8698836.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/006/ERR8698836/ERR8698836.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/006/ERR8698836/ERR8698836.fastq.gz	25078841;74296	30235b8267a16f9a29e6dfd37606f57f;ad07d3a8c1b55febadf53cbdac33a597	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698836/FLR003.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698836/FLR003.YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698836/FLR003.YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698836/FLR003.YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698836/FLR003.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698836/FLR003.YC.bam.bai	BAM;BAI						FLR003_compl		FLR003		2022-02-21
PRJEB51061	ERP135653	SAMEA13090832	ERS10694839	ERX8364545	ERR8698837	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR005.YC	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	344278	19752044	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 paired end sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:131-49666	ena-RUN-TAB-21-02-2022-11:34:56:131-49667	10770808	9b98d88996a96d57cf53d565ea0fab34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/007/ERR8698837/ERR8698837.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/007/ERR8698837/ERR8698837.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/007/ERR8698837/ERR8698837.fastq.gz	17214570;72216	b9db3b11bc0a34cdecbad2e29c90a409;84d5957291b2e71aff51cf88ba1e2c10	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698837/FLR005.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698837/FLR005.YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698837/FLR005.YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698837/FLR005.YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698837/FLR005.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698837/FLR005.YC.bam.bai	BAM;BAI						FLR005_compl		FLR005		2022-02-21
PRJEB51061	ERP135653	SAMEA13090835	ERS10694842	ERX8364549	ERR8698841	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR009.MT		SINGLE	Targeted-Capture	GENOMIC	RANDOM	59080	4098934	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:132-49674	ena-RUN-TAB-21-02-2022-11:34:56:132-49675	1247923	22fea1dd1630b9a3b77852081cf3b1c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/001/ERR8698841/ERR8698841.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/001/ERR8698841/ERR8698841.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/001/ERR8698841/ERR8698841.fastq.gz	1842935;152	e9de7c0aaad73db620df1cd131e7b980;1ebaaf272c8dd4b4ebc8786439a52bc2	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698841/FLR009.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698841/FLR009.MT.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698841/FLR009.MT.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698841/FLR009.MT.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698841/FLR009.MT.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698841/FLR009.MT.bam.bai	BAM;BAI						FLR009_compl		FLR009		2022-02-21
PRJEB51061	ERP135653	SAMEA13090837	ERS10694844	ERX8364554	ERR8698846	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR011.YC		SINGLE	Targeted-Capture	GENOMIC	RANDOM	47416	2490250	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:134-49684	ena-RUN-TAB-21-02-2022-11:34:56:134-49685	1561352	d8d7212b4607394158110ad074ba8367	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/006/ERR8698846/ERR8698846.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/006/ERR8698846/ERR8698846.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/006/ERR8698846/ERR8698846.fastq.gz	2603070;65208	1a8eb81dd2bbb656e8f3b4c68ae2434a;b1966548620163cd88fd39c1eef53185	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698846/FLR011.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698846/FLR011.YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698846/FLR011.YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698846/FLR011.YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698846/FLR011.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698846/FLR011.YC.bam.bai	BAM;BAI						FLR011		FLR011		2022-02-21
PRJEB51061	ERP135653	SAMEA13090838	ERS10694845	ERX8364556	ERR8698848	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR012.TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	35695	2072737	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:134-49688	ena-RUN-TAB-21-02-2022-11:34:56:134-49689	1345458	4787e6a1f3ffa0a11255a14c6de9abcd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/008/ERR8698848/ERR8698848.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/008/ERR8698848/ERR8698848.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/008/ERR8698848/ERR8698848.fastq.gz	2022625;2239344	de698715e13dbdd11802ccd7f4106a97;61d64811c81c7d1dc7eb6c3c972591d9	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698848/FLR012.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698848/FLR012.TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698848/FLR012.TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698848/FLR012.TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698848/FLR012.TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698848/FLR012.TF.bam.bai	BAM;BAI						FLR012		FLR012		2022-02-21
PRJEB51061	ERP135653	SAMEA13090833	ERS10694840	ERX8364546	ERR8698838	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR007.YC	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	666350	40433411	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 paired end sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:131-49668	ena-RUN-TAB-21-02-2022-11:34:56:131-49669	20724043	0dce9ae4066d14cdfb08a5cf8aa2ef6d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/008/ERR8698838/ERR8698838.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/008/ERR8698838/ERR8698838.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/008/ERR8698838/ERR8698838.fastq.gz	32125913;75792	36d40c799bced21d9be10323f2ffad62;cf8122613be372325c7ea38cdfe3f878	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698838/FLR007.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698838/FLR007.YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698838/FLR007.YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698838/FLR007.YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698838/FLR007.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698838/FLR007.YC.bam.bai	BAM;BAI						FLR007_compl		FLR007		2022-02-21
PRJEB51061	ERP135653	SAMEA13090836	ERS10694843	ERX8364551	ERR8698843	ERA9179004	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	FLR010.YC		SINGLE	Targeted-Capture	GENOMIC	RANDOM	108236	6737566	Max Planck Institute for Evolutionary Anthropology;Max Planck Institute for the Science of Human History	2022-04-26	2022-04-26	Illumina HiSeq 4000 sequencing	Ancient DNA gives new insights into a Norman Neolithic monumental cemetery dedicated to male elites	644ffaf2-425e-404d-949a-7e11912b4841	ena-EXPERIMENT-TAB-21-02-2022-11:34:56:133-49678	ena-RUN-TAB-21-02-2022-11:34:56:133-49679	3827825	d93a1168931452f97489ac9dd6c75b89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/003/ERR8698843/ERR8698843.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR869/003/ERR8698843/ERR8698843.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/003/ERR8698843/ERR8698843.fastq.gz	6046355;68080	2adc9557d10838580f66b3b46a9c0851;2d3913f52799037f369a816895481234	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698843/FLR010.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698843/FLR010.YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698843/FLR010.YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR869/ERR8698843/FLR010.YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698843/FLR010.YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR869/ERR8698843/FLR010.YC.bam.bai	BAM;BAI						FLR010_compl		FLR010		2022-02-21
